Img_name,Class
dataset/water/2-358.png,water
dataset/water/2-66.png,water
dataset/water/2-364.png,water
dataset/water/2-402.png,water
dataset/water/2-416.png,water
dataset/water/2-370.png,water
dataset/water/2-72.png,water
dataset/water/2-99.png,water
dataset/water/2-1231.png,water
dataset/water/2-1225.png,water
dataset/water/2-1219.png,water
dataset/water/2-628.png,water
dataset/water/2-600.png,water
dataset/water/2-166.png,water
dataset/water/2-172.png,water
dataset/water/2-614.png,water
dataset/water/2-827.png,water
dataset/water/2-1033.png,water
dataset/water/2-199.png,water
dataset/water/2-1027.png,water
dataset/water/2-833.png,water
dataset/water/2-1184.png,water
dataset/water/2-748.png,water
dataset/water/2-990.png,water
dataset/water/2-984.png,water
dataset/water/2-1190.png,water
dataset/water/2-774.png,water
dataset/water/2-760.png,water
dataset/water/2-953.png,water
dataset/water/2-1147.png,water
dataset/water/2-1153.png,water
dataset/water/2-947.png,water
dataset/water/2-238.png,water
dataset/water/2-210.png,water
dataset/water/2-576.png,water
dataset/water/2-562.png,water
dataset/water/2-204.png,water
dataset/water/2-589.png,water
dataset/water/2-588.png,water
dataset/water/2-563.png,water
dataset/water/2-205.png,water
dataset/water/2-211.png,water
dataset/water/2-577.png,water
dataset/water/2-239.png,water
dataset/water/2-946.png,water
dataset/water/2-1152.png,water
dataset/water/2-1146.png,water
dataset/water/2-952.png,water
dataset/water/2-761.png,water
dataset/water/2-775.png,water
dataset/water/2-1191.png,water
dataset/water/2-985.png,water
dataset/water/2-991.png,water
dataset/water/2-749.png,water
dataset/water/2-1185.png,water
dataset/water/2-832.png,water
dataset/water/2-1026.png,water
dataset/water/2-1032.png,water
dataset/water/2-826.png,water
dataset/water/2-198.png,water
dataset/water/2-173.png,water
dataset/water/2-615.png,water
dataset/water/2-601.png,water
dataset/water/2-167.png,water
dataset/water/2-629.png,water
dataset/water/2-1218.png,water
dataset/water/2-1224.png,water
dataset/water/2-98.png,water
dataset/water/2-1230.png,water
dataset/water/2-417.png,water
dataset/water/2-371.png,water
dataset/water/2-73.png,water
dataset/water/2-67.png,water
dataset/water/2-365.png,water
dataset/water/2-403.png,water
dataset/water/2-359.png,water
dataset/water/2-429.png,water
dataset/water/2-59.png,water
dataset/water/2-71.png,water
dataset/water/2-373.png,water
dataset/water/2-415.png,water
dataset/water/2-401.png,water
dataset/water/2-367.png,water
dataset/water/2-65.png,water
dataset/water/2-1226.png,water
dataset/water/2-1232.png,water
dataset/water/2-398.png,water
dataset/water/2-159.png,water
dataset/water/2-617.png,water
dataset/water/2-171.png,water
dataset/water/2-165.png,water
dataset/water/2-603.png,water
dataset/water/2-1024.png,water
dataset/water/2-830.png,water
dataset/water/2-824.png,water
dataset/water/2-1030.png,water
dataset/water/2-1018.png,water
dataset/water/2-818.png,water
dataset/water/2-987.png,water
dataset/water/2-1193.png,water
dataset/water/2-1187.png,water
dataset/water/2-993.png,water
dataset/water/2-763.png,water
dataset/water/2-777.png,water
dataset/water/2-1150.png,water
dataset/water/2-944.png,water
dataset/water/2-950.png,water
dataset/water/2-788.png,water
dataset/water/2-1144.png,water
dataset/water/2-978.png,water
dataset/water/2-1178.png,water
dataset/water/2-549.png,water
dataset/water/2-207.png,water
dataset/water/2-561.png,water
dataset/water/2-575.png,water
dataset/water/2-213.png,water
dataset/water/2-574.png,water
dataset/water/2-212.png,water
dataset/water/2-206.png,water
dataset/water/2-560.png,water
dataset/water/2-548.png,water
dataset/water/2-1179.png,water
dataset/water/2-979.png,water
dataset/water/2-1145.png,water
dataset/water/2-789.png,water
dataset/water/2-951.png,water
dataset/water/2-945.png,water
dataset/water/2-1151.png,water
dataset/water/2-776.png,water
dataset/water/2-762.png,water
dataset/water/2-992.png,water
dataset/water/2-1186.png,water
dataset/water/2-1192.png,water
dataset/water/2-986.png,water
dataset/water/2-819.png,water
dataset/water/2-1019.png,water
dataset/water/2-1031.png,water
dataset/water/2-825.png,water
dataset/water/2-831.png,water
dataset/water/2-1025.png,water
dataset/water/2-164.png,water
dataset/water/2-602.png,water
dataset/water/2-616.png,water
dataset/water/2-170.png,water
dataset/water/2-158.png,water
dataset/water/2-1233.png,water
dataset/water/2-399.png,water
dataset/water/2-1227.png,water
dataset/water/2-400.png,water
dataset/water/2-366.png,water
dataset/water/2-64.png,water
dataset/water/2-70.png,water
dataset/water/2-372.png,water
dataset/water/2-414.png,water
dataset/water/2-58.png,water
dataset/water/2-428.png,water
dataset/water/2-410.png,water
dataset/water/2-376.png,water
dataset/water/2-74.png,water
dataset/water/2-60.png,water
dataset/water/2-362.png,water
dataset/water/2-404.png,water
dataset/water/2-48.png,water
dataset/water/2-438.png,water
dataset/water/2-1223.png,water
dataset/water/2-389.png,water
dataset/water/2-1237.png,water
dataset/water/2-174.png,water
dataset/water/2-612.png,water
dataset/water/2-606.png,water
dataset/water/2-160.png,water
dataset/water/2-148.png,water
dataset/water/2-809.png,water
dataset/water/2-1009.png,water
dataset/water/2-1021.png,water
dataset/water/2-835.png,water
dataset/water/2-821.png,water
dataset/water/2-1035.png,water
dataset/water/2-766.png,water
dataset/water/2-772.png,water
dataset/water/2-982.png,water
dataset/water/2-1196.png,water
dataset/water/2-1182.png,water
dataset/water/2-996.png,water
dataset/water/2-1169.png,water
dataset/water/2-969.png,water
dataset/water/2-1155.png,water
dataset/water/2-941.png,water
dataset/water/2-799.png,water
dataset/water/2-955.png,water
dataset/water/2-1141.png,water
dataset/water/2-564.png,water
dataset/water/2-202.png,water
dataset/water/2-216.png,water
dataset/water/2-570.png,water
dataset/water/2-558.png,water
dataset/water/2-559.png,water
dataset/water/2-217.png,water
dataset/water/2-571.png,water
dataset/water/2-565.png,water
dataset/water/2-203.png,water
dataset/water/2-1140.png,water
dataset/water/2-954.png,water
dataset/water/2-798.png,water
dataset/water/2-940.png,water
dataset/water/2-1154.png,water
dataset/water/2-968.png,water
dataset/water/2-1168.png,water
dataset/water/2-997.png,water
dataset/water/2-1183.png,water
dataset/water/2-1197.png,water
dataset/water/2-983.png,water
dataset/water/2-773.png,water
dataset/water/2-767.png,water
dataset/water/2-1034.png,water
dataset/water/2-820.png,water
dataset/water/2-834.png,water
dataset/water/2-1020.png,water
dataset/water/2-1008.png,water
dataset/water/2-808.png,water
dataset/water/2-149.png,water
dataset/water/2-607.png,water
dataset/water/2-161.png,water
dataset/water/2-175.png,water
dataset/water/2-613.png,water
dataset/water/2-1236.png,water
dataset/water/2-1222.png,water
dataset/water/2-388.png,water
dataset/water/2-439.png,water
dataset/water/2-49.png,water
dataset/water/2-61.png,water
dataset/water/2-363.png,water
dataset/water/2-405.png,water
dataset/water/2-411.png,water
dataset/water/2-377.png,water
dataset/water/2-75.png,water
dataset/water/2-407.png,water
dataset/water/2-361.png,water
dataset/water/2-63.png,water
dataset/water/2-77.png,water
dataset/water/2-375.png,water
dataset/water/2-413.png,water
dataset/water/2-349.png,water
dataset/water/2-1208.png,water
dataset/water/2-1234.png,water
dataset/water/2-88.png,water
dataset/water/2-1220.png,water
dataset/water/2-163.png,water
dataset/water/2-605.png,water
dataset/water/2-611.png,water
dataset/water/2-177.png,water
dataset/water/2-639.png,water
dataset/water/2-822.png,water
dataset/water/2-1036.png,water
dataset/water/2-1022.png,water
dataset/water/2-836.png,water
dataset/water/2-188.png,water
dataset/water/2-771.png,water
dataset/water/2-765.png,water
dataset/water/2-1181.png,water
dataset/water/2-995.png,water
dataset/water/2-759.png,water
dataset/water/2-981.png,water
dataset/water/2-1195.png,water
dataset/water/2-956.png,water
dataset/water/2-1142.png,water
dataset/water/2-1156.png,water
dataset/water/2-942.png,water
dataset/water/2-573.png,water
dataset/water/2-215.png,water
dataset/water/2-201.png,water
dataset/water/2-567.png,water
dataset/water/2-229.png,water
dataset/water/2-598.png,water
dataset/water/2-599.png,water
dataset/water/2-228.png,water
dataset/water/2-200.png,water
dataset/water/2-566.png,water
dataset/water/2-572.png,water
dataset/water/2-214.png,water
dataset/water/2-943.png,water
dataset/water/2-1157.png,water
dataset/water/2-1143.png,water
dataset/water/2-957.png,water
dataset/water/2-1194.png,water
dataset/water/2-980.png,water
dataset/water/2-758.png,water
dataset/water/2-994.png,water
dataset/water/2-1180.png,water
dataset/water/2-764.png,water
dataset/water/2-770.png,water
dataset/water/2-837.png,water
dataset/water/2-1023.png,water
dataset/water/2-189.png,water
dataset/water/2-1037.png,water
dataset/water/2-823.png,water
dataset/water/2-638.png,water
dataset/water/2-610.png,water
dataset/water/2-176.png,water
dataset/water/2-162.png,water
dataset/water/2-604.png,water
dataset/water/2-89.png,water
dataset/water/2-1221.png,water
dataset/water/2-1235.png,water
dataset/water/2-1209.png,water
dataset/water/2-348.png,water
dataset/water/2-76.png,water
dataset/water/2-374.png,water
dataset/water/2-412.png,water
dataset/water/2-406.png,water
dataset/water/2-360.png,water
dataset/water/2-62.png,water
dataset/water/2-39.png,water
dataset/water/2-449.png,water
dataset/water/2-461.png,water
dataset/water/2-307.png,water
dataset/water/2-11.png,water
dataset/water/2-313.png,water
dataset/water/2-475.png,water
dataset/water/2-1246.png,water
dataset/water/2-139.png,water
dataset/water/2-887.png,water
dataset/water/2-1093.png,water
dataset/water/2-1087.png,water
dataset/water/2-893.png,water
dataset/water/2-105.png,water
dataset/water/2-663.png,water
dataset/water/2-677.png,water
dataset/water/2-111.png,water
dataset/water/2-1050.png,water
dataset/water/2-844.png,water
dataset/water/2-688.png,water
dataset/water/2-850.png,water
dataset/water/2-1044.png,water
dataset/water/2-878.png,water
dataset/water/2-1078.png,water
dataset/water/2-9.png,water
dataset/water/2-717.png,water
dataset/water/2-703.png,water
dataset/water/2-1124.png,water
dataset/water/2-930.png,water
dataset/water/2-924.png,water
dataset/water/2-1130.png,water
dataset/water/2-1118.png,water
dataset/water/2-918.png,water
dataset/water/2-529.png,water
dataset/water/2-515.png,water
dataset/water/2-273.png,water
dataset/water/2-267.png,water
dataset/water/2-501.png,water
dataset/water/2-298.png,water
dataset/water/2-299.png,water
dataset/water/2-266.png,water
dataset/water/2-500.png,water
dataset/water/2-514.png,water
dataset/water/2-272.png,water
dataset/water/2-528.png,water
dataset/water/2-919.png,water
dataset/water/2-1119.png,water
dataset/water/2-1131.png,water
dataset/water/2-925.png,water
dataset/water/2-931.png,water
dataset/water/2-1125.png,water
dataset/water/2-702.png,water
dataset/water/2-716.png,water
dataset/water/2-8.png,water
dataset/water/2-1079.png,water
dataset/water/2-879.png,water
dataset/water/2-1045.png,water
dataset/water/2-851.png,water
dataset/water/2-689.png,water
dataset/water/2-845.png,water
dataset/water/2-1051.png,water
dataset/water/2-676.png,water
dataset/water/2-110.png,water
dataset/water/2-104.png,water
dataset/water/2-662.png,water
dataset/water/2-892.png,water
dataset/water/2-1086.png,water
dataset/water/2-138.png,water
dataset/water/2-1092.png,water
dataset/water/2-886.png,water
dataset/water/2-1247.png,water
dataset/water/2-10.png,water
dataset/water/2-312.png,water
dataset/water/2-474.png,water
dataset/water/2-460.png,water
dataset/water/2-306.png,water
dataset/water/2-448.png,water
dataset/water/2-38.png,water
dataset/water/2-338.png,water
dataset/water/2-476.png,water
dataset/water/2-310.png,water
dataset/water/2-12.png,water
dataset/water/2-304.png,water
dataset/water/2-462.png,water
dataset/water/2-1245.png,water
dataset/water/2-489.png,water
dataset/water/2-1084.png,water
dataset/water/2-890.png,water
dataset/water/2-648.png,water
dataset/water/2-884.png,water
dataset/water/2-1090.png,water
dataset/water/2-112.png,water
dataset/water/2-674.png,water
dataset/water/2-660.png,water
dataset/water/2-106.png,water
dataset/water/2-853.png,water
dataset/water/2-1047.png,water
dataset/water/2-1053.png,water
dataset/water/2-847.png,water
dataset/water/2-728.png,water
dataset/water/2-700.png,water
dataset/water/2-714.png,water
dataset/water/2-927.png,water
dataset/water/2-1133.png,water
dataset/water/2-1127.png,water
dataset/water/2-933.png,water
